_id/$oid,country,date/$date,keyword,lang,__v,absolute,difficult,normalized,similarWord,traffic
63482cf8029a762ebdfa01fe,br,2022-10-02T00:00:00.000+0000,PASSAGEM AÉREA PROMOCIONAL,pt-BR,0,50000,0,99,passagem aérea promocional,5
63482cf8029a762ebdfa0202,br,2022-10-02T00:00:00.000+0000,MELHORES TÊNIS,pt-BR,0,5000,0,99,melhores tênis,0.5
63482cf8029a762ebdfa01f8,br,2022-10-02T00:00:00.000+0000,CONSUMO DE CELULAR,pt-BR,0,50,0,86,consumo de celular,0
63482cf8029a762ebdfa0204,br,2022-10-02T00:00:00.000+0000,DESENHOS ANIMADOS,pt-BR,0,5000000,0,100,desenhos animados,500
63482cfb029a762ebdfa025f,br,2022-10-02T00:00:00.000+0000,IPVA ATRASADO,pt-BR,0,5000,0,99,ipva atrasado,0.5
63482cfb029a762ebdfa0258,br,2022-10-02T00:00:00.000+0000,CADASTRAR PIX,pt-BR,0,500,0,98,cadastrar pix,0.1
63482cfb029a762ebdfa025a,br,2022-10-02T00:00:00.000+0000,AVALIAR,pt-BR,0,50000,0,99,avaliar,5
63482cfb029a762ebdfa0261,br,2022-10-02T00:00:00.000+0000,PROGRAMA,pt-BR,0,50000,0,99,programa,5
63482cfb029a762ebdfa0260,br,2022-10-02T00:00:00.000+0000,SEU CURRÍCULO,pt-BR,0,50,0,86,seu currículo,0
63482cfb029a762ebdfa025b,br,2022-10-02T00:00:00.000+0000,DISTRIBUIDORA DE VINHOS,pt-BR,0,500,0,98,distribuidora de vinhos,0.1
63482cfb029a762ebdfa0264,br,2022-10-02T00:00:00.000+0000,DECORAÇÃO,pt-BR,0,500000,0,100,decoração,50
63482cfb029a762ebdfa0267,br,2022-10-02T00:00:00.000+0000,BANCO SEGURO,pt-BR,0,5000,0,99,banco seguro,0.5
63482cfb029a762ebdfa0266,br,2022-10-02T00:00:00.000+0000,JOGOS SÉRIE A,pt-BR,0,50000,0,99,jogos série a,5
63482d11029a762ebdfa05d1,br,2022-10-02T00:00:00.000+0000,PARCELAR BOLETO SEM JUROS,pt-BR,0,500,0,98,parcelar boleto sem juros,0.1
63482d11029a762ebdfa05d9,br,2022-10-02T00:00:00.000+0000,METODOLOGIA EDUCATIVA,pt-BR,0,50,0,86,metodologia educativa,0
