"_id",country,date,keyword,lang,__v,absolute,difficult,normalized,similarWord,traffic
62f65b772647f9326ec77017,br,2022-06-02T00:00:00.000Z,CHEESEBURGUER,pt-BR,0,5000,0,99,cheeseburguer,0.5
62f65b772647f9326ec77019,br,2022-06-02T00:00:00.000Z,X-BURGUER,pt-BR,0,50000,0,99,x burguer,5
62f65b772647f9326ec7701c,br,2022-06-02T00:00:00.000Z,REFEIÇÃO,pt-BR,0,50000,0,99,refeição,5
62f65bc82647f9326ec777c2,br,2022-07-02T00:00:00.000Z,BIG MAC,pt-BR,0,50000,0,99,big mac,5
62f65bc82647f9326ec777c5,br,2022-06-02T00:00:00.000Z,BIG TASTY,pt-BR,0,50000,0,99,big tasty,5
62f65bc82647f9326ec777c3,br,2022-06-02T00:00:00.000Z,BIG MAC,pt-BR,0,50000,0,99,big mac,5
62f65bc82647f9326ec777c4,br,2022-07-02T00:00:00.000Z,BIG TASTY,pt-BR,0,50000,0,99,big tasty,5
62f65bc82647f9326ec777cc,br,2022-06-02T00:00:00.000Z,LANCHES,pt-BR,0,500000,0,100,lanches,50
62f65bc82647f9326ec777d3,br,2022-06-02T00:00:00.000Z,PROMOÇÃO DE LANCHE,pt-BR,0,500,0,98,promoção de lanche,0.1
62f65bc82647f9326ec777ca,br,2022-06-02T00:00:00.000Z,MC CHICKEN,pt-BR,0,5000,0,99,mc chicken,0.5
62f65bc82647f9326ec777d6,br,2022-07-02T00:00:00.000Z,PROMOÇÃO DELIVERY,pt-BR,0,500,0,98,promoção delivery,0.1
62f65bc82647f9326ec777d0,br,2022-07-02T00:00:00.000Z,LANCHES,pt-BR,0,500000,0,100,lanches,50
62f65bc82647f9326ec777cb,br,2022-07-02T00:00:00.000Z,MC CHICKEN,pt-BR,0,5000,0,99,mc chicken,0.5
62f65bc82647f9326ec777d7,br,2022-06-02T00:00:00.000Z,PROMOÇÃO DELIVERY,pt-BR,0,50,0,86,promoção delivery,0
62f65bc82647f9326ec777d1,br,2022-07-02T00:00:00.000Z,PROMOÇÃO DE LANCHE,pt-BR,0,500,0,98,promoção de lanche,0.1
62f65bc82647f9326ec777dc,br,2022-06-02T00:00:00.000Z,PROMOÇÃO DE COMIDA,pt-BR,0,500,0,98,promoção de comida,0.1
62f65bc82647f9326ec777da,br,2022-07-02T00:00:00.000Z,PROMOÇÃO DE COMIDA,pt-BR,0,500,0,98,promoção de comida,0.1
62f65c192647f9326ec77f84,br,2022-07-02T00:00:00.000Z,DELIVERY DE COMIDA ONLINE,pt-BR,0,50,0,86,delivery de comida online,0
62f65c192647f9326ec77f85,br,2022-06-02T00:00:00.000Z,DELIVERY DE COMIDA ONLINE,pt-BR,0,50,0,86,delivery de comida online,0
62f65c192647f9326ec77f97,br,2022-06-02T00:00:00.000Z,COMIDA DELIVERY,pt-BR,0,5000,0,99,comida delivery,0.5
62f65c192647f9326ec77f94,br,2022-06-02T00:00:00.000Z,HAMBÚRGUER DELIVERY,pt-BR,0,5000,0,99,hambúrguer delivery,0.5
62f65c192647f9326ec77f9b,br,2022-07-02T00:00:00.000Z,LANCHE DELIVERY,pt-BR,0,5000,0,99,lanche delivery,0.5
62f65c192647f9326ec77f98,br,2022-07-02T00:00:00.000Z,HAMBÚRGUER DELIVERY,pt-BR,0,5000,0,99,hambúrguer delivery,0.5
62f65c192647f9326ec77f93,br,2022-07-02T00:00:00.000Z,COMIDA DELIVERY,pt-BR,0,5000,0,99,comida delivery,0.5
62f65c192647f9326ec77f9d,br,2022-06-02T00:00:00.000Z,LANCHE DELIVERY,pt-BR,0,5000,0,99,lanche delivery,0.5
62f65c6a2647f9326ec78728,br,2022-06-02T00:00:00.000Z,COMIDA DELIVERY ONLINE,pt-BR,0,50,0,86,comida delivery online,0
62f65c6a2647f9326ec78727,br,2022-07-02T00:00:00.000Z,COMIDA DELIVERY ONLINE,pt-BR,0,50,0,86,comida delivery online,0
62f65c6a2647f9326ec78735,br,2022-06-02T00:00:00.000Z,APLICATIVO DE COMIDA,pt-BR,0,5000,0,99,aplicativo de comida,0.5
62f65c6a2647f9326ec78730,br,2022-07-02T00:00:00.000Z,APLICATIVO DE COMIDA,pt-BR,0,5000,0,99,aplicativo de comida,0.5
62f65c6a2647f9326ec7872f,br,2022-06-02T00:00:00.000Z,APP DE COMIDA,pt-BR,0,1600,0,99,app de comida,0.2
62f65c6a2647f9326ec7872c,br,2022-07-02T00:00:00.000Z,APLICATIVO DE DELIVERY,pt-BR,0,5000,0,99,aplicativo de delivery,0.5
62f65c6a2647f9326ec7872e,br,2022-06-02T00:00:00.000Z,APLICATIVO DE DELIVERY,pt-BR,0,5000,0,99,aplicativo de delivery,0.5
62f65c6a2647f9326ec78736,br,2022-07-02T00:00:00.000Z,APP DE COMIDA,pt-BR,0,1600,0,99,app de comida,0.2
62f65cbc2647f9326ec78f35,br,2022-07-02T00:00:00.000Z,SANDUÍCHE,pt-BR,0,50000,0,99,sanduíche,5
62f65cbc2647f9326ec78f34,br,2022-06-02T00:00:00.000Z,SANDUÍCHE,pt-BR,0,50000,0,99,sanduíche,5
62f65cbc2647f9326ec78f3e,br,2022-06-02T00:00:00.000Z,SOBREMESA,pt-BR,0,201000,0,99,sobremesa,20.1
62f65cbc2647f9326ec78f3d,br,2022-07-02T00:00:00.000Z,MILK SHAKE,pt-BR,0,500000,0,100,milk shake,50
62f65cbc2647f9326ec78f3f,br,2022-06-02T00:00:00.000Z,MILK SHAKE,pt-BR,0,50000,0,99,milk shake,5
62f65cbc2647f9326ec78f3c,br,2022-07-02T00:00:00.000Z,SOBREMESA,pt-BR,0,246000,0,99,sobremesa,24.6
62f65cbc2647f9326ec78f45,br,2022-06-02T00:00:00.000Z,SORVETE,pt-BR,0,500000,0,100,sorvete,50
62f65cbc2647f9326ec78f46,br,2022-07-02T00:00:00.000Z,SORVETE,pt-BR,0,500000,0,100,sorvete,50
62f65cbc2647f9326ec78f4a,br,2022-06-02T00:00:00.000Z,PEDIR DELIVERY ONLINE,pt-BR,0,50,0,86,pedir delivery online,0
62f65cbc2647f9326ec78f4b,br,2022-07-02T00:00:00.000Z,PEDIR DELIVERY ONLINE,pt-BR,0,50,0,86,pedir delivery online,0
62f65d0d2647f9326ec7ae57,br,2022-06-02T00:00:00.000Z,DELIVERY DE HAMBÚRGUER,pt-BR,0,5000,0,99,delivery de hambúrguer,0.5
62f65d0d2647f9326ec7ae55,br,2022-06-02T00:00:00.000Z,ENTREGA DE DELIVERY,pt-BR,0,50,0,86,entrega de delivery,0
62f65d0d2647f9326ec7ae5d,br,2022-07-02T00:00:00.000Z,DELIVERY DE SANDUÍCHE,pt-BR,0,50,0,86,delivery de sanduíche,0
62f65d0d2647f9326ec7ae56,br,2022-07-02T00:00:00.000Z,DELIVERY DE HAMBÚRGUER,pt-BR,0,5000,0,99,delivery de hambúrguer,0.5
62f65d0d2647f9326ec7ae62,br,2022-06-02T00:00:00.000Z,DELIVERY DE SANDUÍCHE,pt-BR,0,50,0,86,delivery de sanduíche,0
62f65d0d2647f9326ec7ae5c,br,2022-06-02T00:00:00.000Z,DELIVERY DE LANCHE,pt-BR,0,500,0,98,delivery de lanche,0.1
62f65d0d2647f9326ec7ae53,br,2022-07-02T00:00:00.000Z,ENTREGA DE DELIVERY,pt-BR,0,500,0,98,entrega de delivery,0.1
62f65d0d2647f9326ec7ae5f,br,2022-07-02T00:00:00.000Z,DELIVERY DE LANCHE,pt-BR,0,500,0,98,delivery de lanche,0.1
62f65d5c2647f9326ec8d4da,br,2022-06-02T00:00:00.000Z,ENTREGA DE RESTAURANTE,pt-BR,0,50,0,86,entrega de restaurante,0
62f65d5c2647f9326ec8d4d8,br,2022-06-02T00:00:00.000Z,ENTREGA DE SANDUÍCHE,pt-BR,0,500,0,98,entrega de sanduíche,0.1
62f65d5c2647f9326ec8d4dd,br,2022-06-02T00:00:00.000Z,ENTREGA DE LANCHE,pt-BR,0,5000,0,99,entrega de lanche,0.5
62f65d5c2647f9326ec8d4d6,br,2022-07-02T00:00:00.000Z,ENTREGA DE LANCHE,pt-BR,0,5000,0,99,entrega de lanche,0.5
62f65d5c2647f9326ec8d4d2,br,2022-07-02T00:00:00.000Z,ENTREGA DE HAMBÚRGUER,pt-BR,0,500,0,98,entrega de hambúrguer,0.1
62f65d5c2647f9326ec8d4de,br,2022-07-02T00:00:00.000Z,ENTREGA DE COMIDA ONLINE,pt-BR,0,50,0,86,entrega de comida online,0
62f65d5c2647f9326ec8d4df,br,2022-07-02T00:00:00.000Z,ENTREGA DE RESTAURANTE,pt-BR,0,50,0,86,entrega de restaurante,0
62f65d5c2647f9326ec8d4e3,br,2022-06-02T00:00:00.000Z,ENTREGA DE COMIDA ONLINE,pt-BR,0,50,0,86,entrega de comida online,0
62f65d5c2647f9326ec8d4e4,br,2022-07-02T00:00:00.000Z,ENTREGA DE SANDUÍCHE,pt-BR,0,50,0,86,entrega de sanduíche,0
62f65d5c2647f9326ec8d4d4,br,2022-06-02T00:00:00.000Z,ENTREGA DE HAMBÚRGUER,pt-BR,0,500,0,98,entrega de hambúrguer,0.1
62f65dac2647f9326ec9a99e,br,2022-06-02T00:00:00.000Z,PEDIR SANDUÍCHE,pt-BR,0,50,0,86,pedir sanduíche,0
62f65dac2647f9326ec9a9a1,br,2022-06-02T00:00:00.000Z,PEDIR COMIDA ONLINE,pt-BR,0,500,0,98,pedir comida online,0.1
62f65dac2647f9326ec9a9a4,br,2022-07-02T00:00:00.000Z,PEDIR COMIDA ONLINE,pt-BR,0,500,0,98,pedir comida online,0.1
62f65dac2647f9326ec9a9a5,br,2022-07-02T00:00:00.000Z,PEDIR HAMBÚRGUER ONLINE,pt-BR,0,50,0,86,pedir hambúrguer online,0
62f65dac2647f9326ec9a9ac,br,2022-06-02T00:00:00.000Z,PEDIR LANCHE ONLINE,pt-BR,0,500,0,98,pedir lanche online,0.1
62f65dac2647f9326ec9a9b4,br,2022-07-02T00:00:00.000Z,SANDUÍCHE RÁPIDO,pt-BR,0,500,0,98,sanduíche rápido,0.1
62f65dac2647f9326ec9a99d,br,2022-07-02T00:00:00.000Z,PEDIR SANDUÍCHE,pt-BR,0,50,0,86,pedir sanduíche,0
62f65dac2647f9326ec9a9b1,br,2022-07-02T00:00:00.000Z,COMIDA RÁPIDA,pt-BR,0,50000,0,99,comida rápida,5
62f65dac2647f9326ec9a9a7,br,2022-06-02T00:00:00.000Z,PEDIR HAMBÚRGUER ONLINE,pt-BR,0,50,0,86,pedir hambúrguer online,0
62f65dac2647f9326ec9a9af,br,2022-06-02T00:00:00.000Z,COMIDA RÁPIDA,pt-BR,0,50000,0,99,comida rápida,5
62f65dac2647f9326ec9a9b0,br,2022-06-02T00:00:00.000Z,SANDUÍCHE RÁPIDO,pt-BR,0,500,0,98,sanduíche rápido,0.1
62f65dac2647f9326ec9a9ab,br,2022-07-02T00:00:00.000Z,PEDIR LANCHE ONLINE,pt-BR,0,500,0,98,pedir lanche online,0.1
62f65dfc2647f9326eca65b8,br,2022-06-02T00:00:00.000Z,LANCHE RÁPIDO,pt-BR,0,50000,0,99,lanche rápido,5
62f65dfc2647f9326eca65b9,br,2022-07-02T00:00:00.000Z,COMER,pt-BR,0,50000,0,99,comer,5
62f65dfc2647f9326eca65bc,br,2022-06-02T00:00:00.000Z,COMER,pt-BR,0,50000,0,99,comer,5
62f65dfc2647f9326eca65b7,br,2022-07-02T00:00:00.000Z,LANCHE RÁPIDO,pt-BR,0,50000,0,99,lanche rápido,5
62f65dfc2647f9326eca65d0,br,2022-06-02T00:00:00.000Z,SUNDAE,pt-BR,0,50000,0,99,sundae,5
62f65dfc2647f9326eca65c0,br,2022-06-02T00:00:00.000Z,COMER HOJE,pt-BR,0,500,0,98,comer hoje,0.1
62f65dfc2647f9326eca65c5,br,2022-07-02T00:00:00.000Z,MÉQUI,pt-BR,0,5000,0,99,méqui,0.5
62f65dfc2647f9326eca65d3,br,2022-07-02T00:00:00.000Z,CUPONS EXCLUSIVOS,pt-BR,0,50,0,86,cupons exclusivos,0
62f65dfc2647f9326eca65bf,br,2022-07-02T00:00:00.000Z,COMER HOJE,pt-BR,0,500,0,98,comer hoje,0.1
